UIC;Gare;Piano;Power&Station;Baby-Foot;Distr Histoires Courtes;total
87741132;Aix-les-Bains le Revard;1;0;0;0;1
87300822;Belfort - Montbeliard TGV;1;3;0;0;4
87171926;Champagne-Ardenne TGV;1;0;1;1;3
87384008;Paris Saint-Lazare;1;0;0;1;2
87381897;Conflans-Sainte-Honorine;0;0;0;1;1
87172007;Charleville-Mezieres;0;2;0;0;2
87583005;Angouleme;0;1;0;0;1
87615468;Castres;0;1;0;0;1
87393702;Massy TGV;1;2;0;1;4
87413013;Le Havre;0;2;0;0;2
87391102;Paris Montparnasse;0;0;1;0;1
87547026;Paris Austerlitz;0;1;1;0;2
87575001;Poitiers;1;2;0;0;3
87447680;Granville;0;0;1;0;1
87171009;Reims;1;1;0;0;2
87271007;Paris Gare du Nord;3;3;0;4;10
87474007;Brest;1;0;0;1;2
87286005;Lille Flandres;1;3;0;0;4
87595009;Perigueux;1;0;0;1;2
87387001;evreux Normandie;0;0;1;0;1
87743005;Bourg-en-Bresse;0;0;0;1;1
87673202;Dax;0;0;0;1;1
87391003;Paris Montparnasse;1;7;1;1;10
87212027;Strasbourg;1;3;1;1;6
87471003;Rennes;1;1;1;1;4
87386409;Houilles - Carrieres-sur-Seine;0;0;0;1;1
87478404;Laval;1;0;0;0;1
87762906;Lyon Saint-Exupery TGV;1;3;1;1;6
87611244;Montauban Ville Bourbon;1;0;0;0;1
87444372;Trouville - Deauville;0;0;0;1;1
87473009;Saint-Brieuc;0;1;1;1;3
87581009;Bordeaux Saint-Jean;2;0;0;1;3
87276055;Ermont - Eaubonne;0;0;0;1;1
87718007;Besancon Viotte;1;0;0;0;1
87444000;Caen;1;0;0;0;1
87722025;Lyon Perrache;1;0;0;1;2
87747006;Grenoble;1;0;0;3;4
87276691;Compiegne;0;2;0;0;2
87396002;Le Mans;1;0;0;1;2
87276006;Creil;1;0;0;0;1
87746008;Annecy;1;0;0;0;1
87654798;Rosa Parks;0;0;1;0;1
87476002;Lorient;1;1;0;0;2
87281071;Calais - Frethun;1;0;1;0;2
87485003;La Rochelle;0;2;0;0;2
87613000;Cahors;0;1;0;0;1
87611004;Toulouse Matabiau;1;2;0;1;4
87386425;Maisons-Laffitte;1;0;0;0;1
87182063;Mulhouse;0;1;0;1;2
87474098;Quimper;0;0;0;1;1
87671008;Tarbes;1;1;0;1;3
87734004;Clermont-Ferrand;1;0;0;0;1
87547000;Paris Austerlitz;1;1;0;2;4
87141002;Nancy;1;3;0;0;4
87775007;Nimes;1;0;0;1;2
87271494;Aeroport Charles de Gaulle 2 TGV;1;3;0;2;6
87328328;Bibliotheque Francois Mitterrand;1;0;0;0;1
87615005;Albi;0;1;0;0;1
87732008;Vichy;1;2;0;0;3
87113001;Paris Est;1;3;0;2;6
87757625;Cannes;1;0;0;0;1
87571240;Saint-Pierre-des-Corps;0;0;0;2;2
87686006;Paris Gare de Lyon;2;0;1;3;6
87571000;Tours;1;0;0;1;2
87481754;La Baule-Escoublac;1;0;0;0;1
87111849;Marne-la-Vallee Chessy;1;2;0;1;4
87382002;Becon les Bruyeres;1;0;0;0;1
87484006;Angers Saint-Laud;1;0;0;1;2
87586008;Agen;1;0;0;0;1
87300863;Besancon Franche-Comte TGV;1;0;1;0;2
87343004;Valenciennes;1;0;0;0;1
87118000;Troyes;0;2;0;0;2
87688887;Montpellier Sud-de-France;1;0;0;1;2
87751008;Marseille Saint-Charles;0;3;0;0;3
87611533;Ax-les-Thermes;0;1;0;0;1
87745000;Bellegarde;1;1;0;1;3
87773002;Montpellier Saint-Roch;1;0;0;1;2
87592006;Limoges Benedictins;1;2;0;0;3
87486019;La Roche-sur-Yon;0;0;0;1;1
87223263;Lille Europe;1;0;0;1;2
87345009;Douai;1;0;0;0;1
87611749;Auch;0;1;0;0;1
87765008;Avignon Centre;1;0;0;0;1
87543017;Les Aubrais;1;0;0;0;1
87543009;Orleans;1;0;0;0;1
87393843;Saint-Quentin en Yvelines - Montigny-le-Bretonneux;0;0;1;0;1
87763029;Valence TGV Rhone-Alpes Sud;1;0;1;0;2
87476606;Vannes;1;0;0;0;1
87313874;Amiens;1;2;0;0;3
87116111;Chelles - Gournay;0;0;0;1;1
87481002;Nantes;1;3;0;1;5
87485300;Niort;0;1;0;0;1
87686667;Paris Bercy Bourgogne - Pays d'Auvergne;1;0;1;2;4
87571216;Vendome - Villiers-sur-Loir;1;0;1;0;2
87313882;TGV Haute Picardie;1;0;1;0;2
87594002;Brive-la-Gaillarde;0;0;0;1;1
87444877;Cherbourg;0;0;0;1;1
87411017;Rouen Rive Droite;1;0;1;1;3
87672006;Pau;1;0;0;1;2
87726000;Saint-etienne Chateaucreux;0;0;1;0;1
87755009;Toulon;1;0;0;0;1
87713040;Dijon;1;0;0;0;1
87784009;Perpignan;0;0;0;1;1
87319012;Aix-en-Provence TGV;1;0;0;1;2
87318964;Avignon TGV;1;0;0;1;2
87723197;Lyon Part Dieu;0;3;0;1;4
87192039;Metz Ville;1;3;1;0;5
87756403;Monaco;1;3;0;0;4
87756056;Nice;1;0;0;1;2
;Total;77;86;22;63;248
