Mois;UIC;Nom gare;Nombre de non-conformites;Nombre d'observations;Taux de conformite
2017-01;87142109;Lorraine TGV;32;409;92.18
2017-01;87171009;Reims;24;698;96.56
2017-01;87182014;Colmar;14;243;94.24
2017-01;87182063;Mulhouse;12;526;97.72
2017-01;87223263;Lille Europe;31;656;95.27
2017-01;87271494;Aeroport Charles de Gaulle 2 TGV;55;541;89.83
2017-01;87300863;Besancon Franche-Comte TGV;6;237;97.47
2017-01;87319012;Aix-en-Provence TGV;76;702;89.17
2017-01;87474098;Quimper;4;318;98.74
2017-01;87481002;Nantes;41;618;93.37
2017-01;87486019;La Roche-sur-Yon;6;300;98.0
2017-01;87547000;Paris Austerlitz;35;547;93.6
2017-01;87574004;Blois - Chambord;19;281;93.24
2017-01;87576009;Vierzon;13;336;96.13
2017-01;87576207;Bourges;19;276;93.12
2017-01;87686006;Paris Gare de Lyon Hall 1 & 2;45;985;95.43
2017-01;87725705;Macon Loche TGV;10;269;96.28
2017-01;87741009;Chambery - Challes-les-Eaux;42;792;94.7
2017-01;87741793;Bourg-Saint-Maurice;3;165;98.18
2017-01;87747006;Grenoble;27;629;95.71
2017-01;87763029;Valence TGV Rhone-Alpes Sud;49;722;93.21
2017-01;87775007;Nimes;23;737;96.88
2017-01;87781104;Narbonne;23;389;94.09
2017-01;87784009;Perpignan;18;581;96.9
2018-01;87118000;Troyes;8;317;97.48
2018-01;87172007;Charleville-Mezieres;16;627;97.45
2018-01;87271007;Paris Gare du Nord transmanche;130;1286;89.89
2018-01;87271007;Paris Gare du Nord;130;1286;89.89
2018-01;87271494;Aeroport Charles de Gaulle 2 TGV;47;540;91.3
2018-01;87384008;Paris Saint-Lazare;18;599;96.99
2018-01;87387001;evreux Normandie;15;282;94.68
2018-01;87391003;Paris Montparnasse Hall 1 & 2;114;1847;93.83
2018-01;87444265;Lisieux;7;244;97.13
2018-01;87474338;Morlaix;9;318;97.17
2018-01;87476002;Lorient Bretagne Sud;39;264;85.23
2018-01;87485300;Niort;10;392;97.45
2018-01;87543017;Les Aubrais;12;245;95.1
2018-01;87571216;Vendome - Villiers-sur-Loir;22;423;94.8
2018-01;87571240;Saint-Pierre-des-Corps;13;658;98.02
2018-01;87574004;Blois - Chambord;27;265;89.81
2018-01;87575142;Chatellerault;3;227;98.68
2018-01;87594002;Brive-la-Gaillarde;2;350;99.43
2018-01;87722025;Lyon Perrache;21;673;96.88
2018-01;87747006;Grenoble;33;680;95.15
2018-01;87751008;Marseille Saint-Charles;68;660;89.7
